List of Battle Hall Pokémon,,,,,,,,,,,,,,
Group 1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pokémon in this group have base stat totals below 340 and may appear during a battle from Rank 1 to Rank 5 for a certain type.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Argenta will randomly use one of the Pokémon listed here each time when challenged for the Silver Print if the player is also using a Pokémon with a base stat total below 340.,,,,,,,,,,,,,,
# ,Pokémon ,Item ,Moves ,Nature ,EVs,,,,,,,,,
79,Slowpoke ,Slowpoke ,TwistedSpoon TwistedSpoon ,Zen Headbutt ,Aqua Tail ,Amnesia ,Brine ,Sassy ,- ,252,- ,- ,252,-
81,Magnemite ,Magnemite ,Metal Coat Metal Coat ,Flash Cannon ,Thunder ,Metal Sound ,Gyro Ball ,Rash ,- ,- ,252,252,- ,-
84,Doduo ,Doduo ,Sharp Beak Sharp Beak ,Drill Peck ,Fury Attack ,Aerial Ace ,Acupressure ,Jolly ,- ,252,- ,- ,- ,252
86,Seel ,Seel ,Mystic Water Mystic Water ,Waterfall ,Headbutt ,Aqua Jet ,Aqua Ring ,Jolly ,- ,252,- ,- ,- ,252
88,Grimer ,Grimer ,Poison Barb Poison Barb ,Gunk Shot ,Frustration ,Screech ,Sludge Bomb ,Lonely ,252,252,- ,- ,- ,-
90,Shellder ,Shellder ,Mystic Water Mystic Water ,Clamp ,Brine ,Take Down ,Iron Defense ,Sassy ,- ,- ,- ,252,252,-
92,Gastly ,Gastly ,Spell Tag Spell Tag ,Shadow Ball ,Sludge Bomb ,Astonish ,Double Team ,Modest ,- ,252,- ,- ,- ,252
96,Drowzee ,Drowzee ,TwistedSpoon TwistedSpoon ,Frustration ,Psychic ,Nasty Plot ,Future Sight ,Rash ,- ,- ,- ,252,- ,252
98,Krabby ,Krabby ,Mystic Water Mystic Water ,Crabhammer ,Slam ,Swords Dance ,Brine ,Naughty ,- ,252,- ,- ,- ,252
100,Voltorb ,Voltorb ,Magnet Magnet ,Thunderbolt ,Swift ,Double Team ,Shock Wave ,Modest ,- ,- ,- ,252,- ,252
102,Exeggcute ,Exeggcute ,Miracle Seed Miracle Seed ,Leaf Storm ,Psychic ,Leech Seed ,Seed Bomb ,Quiet ,252,- ,- ,252,- ,-
104,Cubone ,Cubone ,Soft Sand Soft Sand ,Bonemerang ,Facade ,Double-Edge ,Swords Dance ,Adamant ,- ,252,- ,- ,- ,252
116,Horsea ,Horsea ,Mystic Water Mystic Water ,Waterfall ,Rain Dance ,Dragon Dance ,Return ,Jolly ,- ,252,- ,- ,- ,252
118,Goldeen ,Goldeen ,Mystic Water Mystic Water ,Waterfall ,Fury Attack ,Agility ,Rain Dance ,Jolly ,- ,252,- ,- ,- ,252
129,Magikarp ,Magikarp ,Scope Lens Scope Lens ,Tackle ,Flail ,Bounce ,- ,Jolly ,- ,252,- ,- ,- ,252
132,Ditto ,Ditto ,Quick Powder Quick Powder ,Transform ,- ,- ,- ,Naive ,252,- ,- ,- ,- ,252
133,Eevee ,Eevee ,Silk Scarf Silk Scarf ,Return ,Quick Attack ,Charm ,Shadow Ball ,Naughty ,- ,252,- ,- ,- ,252
147,Dratini ,Dratini ,Dragon Fang Dragon Fang ,Dragon Rush ,Dragon Dance ,Slam ,Dragon Rage ,Jolly ,- ,252,- ,- ,- ,252
152,Chikorita ,Chikorita ,Miracle Seed Miracle Seed ,Energy Ball ,Return ,Ingrain ,Razor Leaf ,Quiet ,252,- ,- ,252,- ,-
155,Cyndaquil ,Cyndaquil ,Charcoal Charcoal ,Overheat ,Quick Attack ,Flare Blitz ,SmokeScreen ,Hasty ,- ,252,- ,- ,- ,252
158,Totodile ,Totodile ,Mystic Water Mystic Water ,Aqua Tail ,Slash ,Scary Face ,Brine ,Lonely ,- ,252,- ,- ,- ,252
161,Sentret ,Sentret ,Silk Scarf Silk Scarf ,Hyper Voice ,Charge Beam ,Quick Attack ,Charm ,Rash ,- ,- ,- ,252,- ,252
163,Hoothoot ,Hoothoot ,Sharp Beak Sharp Beak ,Swift ,Air Slash ,Aerial Ace ,Feather Dance ,Mild ,- ,- ,- ,252,- ,252
165,Ledyba ,Ledyba ,SilverPowder SilverPowder ,Bug Buzz ,Air Cutter ,Bug Bite ,Double Team ,Hasty ,- ,- ,- ,252,- ,252
167,Spinarak ,Spinarak ,SilverPowder SilverPowder ,Pin Missile ,Poison Jab ,Agility ,Double Team ,Jolly ,- ,252,- ,- ,- ,252
170,Chinchou ,Chinchou ,Mystic Water Mystic Water ,Discharge ,Brine ,Amnesia ,Aqua Ring ,Modest ,- ,- ,- ,252,- ,252
172,Pichu ,Pichu ,Magnet Magnet ,Nasty Plot ,Thunderbolt ,Shock Wave ,Facade ,Naive ,- ,- ,- ,252,- ,252
173,Cleffa ,Cleffa ,Silk Scarf Silk Scarf ,Return ,Magical Leaf ,Charm ,Amnesia ,Relaxed ,252,252,- ,- ,- ,-
174,Igglybuff ,Igglybuff ,Silk Scarf Silk Scarf ,Return ,Feint Attack ,Charm ,Fake Tears ,Naughty ,- ,252,- ,- ,- ,252
175,Togepi ,Togepi ,Silk Scarf Silk Scarf ,Return ,Zen Headbutt ,Charm ,Swift ,Naive ,- ,252,- ,- ,- ,252
177,Natu ,Natu ,TwistedSpoon TwistedSpoon ,Psychic ,Air Cutter ,Feather Dance ,Future Sight ,Modest ,- ,- ,- ,252,- ,252
179,Mareep ,Mareep ,Magnet Magnet ,Thunder ,Take Down ,Cotton Spore ,Screech ,Rash ,- ,- ,- ,252,- ,252
183,Marill ,Marill ,Mystic Water Mystic Water ,Aqua Tail ,Bubble Beam ,Double-Edge ,Aqua Ring ,Lonely ,- ,252,- ,- ,- ,252
187,Hoppip ,Hoppip ,Miracle Seed Miracle Seed ,Seed Bomb ,Bounce ,Amnesia ,Giga Drain ,Hasty ,- ,252,- ,- ,- ,252
191,Sunkern ,Sunkern ,Miracle Seed Miracle Seed ,Seed Bomb ,Sunny Day ,Ingrain ,Facade ,Jolly ,- ,252,- ,- ,- ,252
194,Wooper ,Wooper ,Mystic Water Mystic Water ,Aqua Tail ,Surf ,Amnesia ,Mud Shot ,Gentle ,- ,252,- ,- ,252,-
201,Unown ,Unown ,Sitrus Berry Sitrus Berry ,Hidden Power ,- ,- ,- ,Hasty ,252,- ,- ,- ,- ,252
204,Pineco ,Pineco ,SilverPowder SilverPowder ,Pin Missile ,Facade ,Iron Defense ,Swift ,Relaxed ,- ,252,252,- ,- ,-
209,Snubbull ,Snubbull ,Silk Scarf Silk Scarf ,Return ,Fire Fang ,Charm ,Facade ,Naughty ,- ,252,- ,- ,- ,252
216,Teddiursa ,Teddiursa ,Silk Scarf Silk Scarf ,Charm ,Slash ,Aerial Ace ,Facade ,Jolly ,- ,252,- ,- ,- ,252
218,Slugma ,Slugma ,Charcoal Charcoal ,Heat Wave ,Acid Armor ,Amnesia ,Facade ,Hasty ,- ,- ,- ,252,- ,252
220,Swinub ,Swinub ,NeverMeltIce NeverMeltIce ,Blizzard ,Earth Power ,Ice Shard ,Curse ,Quiet ,- ,252,- ,252,- ,-
223,Remoraid ,Remoraid ,Mystic Water Mystic Water ,Octazooka ,Hyper Beam ,Focus Energy ,Double Team ,Timid ,- ,- ,- ,252,- ,252
225,Delibird ,Delibird ,NeverMeltIce NeverMeltIce ,Ice Shard ,Double Team ,Ice Punch ,Aerial Ace ,Adamant ,- ,252,- ,- ,- ,252
228,Houndour ,Houndour ,BlackGlasses BlackGlasses ,Dark Pulse ,Flamethrower ,Nasty Plot ,Sucker Punch ,Hasty ,- ,- ,- ,252,- ,252
231,Phanpy ,Phanpy ,Soft Sand Soft Sand ,Earthquake ,Earth Power ,Facade ,Charm ,Naive ,- ,252,- ,- ,- ,252
235,Smeargle ,Smeargle ,Silk Scarf Silk Scarf ,Hyper Voice ,Dragon Pulse ,Nasty Plot ,Quick Attack ,Timid ,- ,- ,- ,252,- ,252
236,Tyrogue ,Tyrogue ,Black Belt Black Belt ,Mach Punch ,Foresight ,Bulk Up ,Brick Break ,Adamant ,- ,252,- ,- ,- ,252
238,Smoochum ,Smoochum ,NeverMeltIce NeverMeltIce ,Blizzard ,Psychic ,Fake Tears ,Ice Punch ,Mild ,- ,- ,- ,252,- ,252
246,Larvitar ,Larvitar ,Hard Stone Hard Stone ,Stone Edge ,Dig ,Screech ,Earth Power ,Lonely ,- ,252,- ,- ,- ,252
252,Treecko ,Treecko ,Miracle Seed Miracle Seed ,Leaf Storm ,Crush Claw ,Quick Attack ,Screech ,Naive ,- ,252,- ,- ,- ,252
255,Torchic ,Torchic ,Charcoal Charcoal ,Flamethrower ,Quick Attack ,Slash ,Swords Dance ,Hasty ,- ,252,- ,- ,- ,252
258,Mudkip ,Mudkip ,Mystic Water Mystic Water ,Waterfall ,Facade ,Strength ,Curse ,Brave ,- ,252,- ,- ,252,-
261,Poochyena ,Poochyena ,BlackGlasses BlackGlasses ,Crunch ,Dark Pulse ,Frustration ,Scary Face ,Naive ,- ,252,- ,- ,- ,252
263,Zigzagoon ,Zigzagoon ,Silk Scarf Silk Scarf ,Mud-Slap ,Headbutt ,Tickle ,Facade ,Jolly ,- ,252,- ,- ,- ,252
265,Wurmple ,Wurmple ,SilverPowder SilverPowder ,Tackle ,String Shot ,Bug Bite ,- ,Jolly ,- ,252,- ,- ,- ,252
266,Silcoon ,Silcoon ,SilverPowder SilverPowder ,Tackle ,String Shot ,Bug Bite ,Iron Defense ,Impish ,- ,- ,252,- ,252,-
268,Cascoon ,Cascoon ,SilverPowder SilverPowder ,Tackle ,String Shot ,Bug Bite ,Iron Defense ,Impish ,- ,- ,252,- ,252,-
270,Lotad ,Lotad ,Miracle Seed Miracle Seed ,Energy Ball ,Bubble Beam ,Razor Leaf ,Rain Dance ,Hasty ,- ,- ,- ,252,- ,252
273,Seedot ,Seedot ,Miracle Seed Miracle Seed ,Seed Bomb ,Nasty Plot ,Frustration ,Energy Ball ,Quiet ,- ,- ,- ,252,252,-
276,Taillow ,Taillow ,Sharp Beak Sharp Beak ,Brave Bird ,Air Slash ,Quick Attack ,Double Team ,Lonely ,- ,252,- ,- ,- ,252
278,Wingull ,Wingull ,Sharp Beak Sharp Beak ,Brine ,Air Slash ,Aqua Ring ,Agility ,Timid ,252,- ,- ,- ,- ,252
280,Ralts ,Ralts ,TwistedSpoon TwistedSpoon ,Psychic ,Facade ,Charm ,Future Sight ,Mild ,- ,- ,- ,252,252,-
281,Kirlia ,Kirlia ,TwistedSpoon TwistedSpoon ,Psychic ,Facade ,Calm Mind ,Future Sight ,Rash ,- ,- ,- ,252,- ,252
283,Surskit ,Surskit ,SilverPowder SilverPowder ,Signal Beam ,Bubble Beam ,Agility ,Bug Bite ,Mild ,- ,- ,- ,252,- ,252
285,Shroomish ,Shroomish ,Miracle Seed Miracle Seed ,Seed Bomb ,Headbutt ,Charm ,Giga Drain ,Rash ,- ,- ,252,252,- ,-
287,Slakoth ,Slakoth ,Silk Scarf Silk Scarf ,Facade ,Night Slash ,Bulk Up ,Slash ,Adamant ,- ,252,- ,- ,- ,252
290,Nincada ,Nincada ,SilverPowder SilverPowder ,X-Scissor ,Dig ,Mud-Slap ,Silver Wind ,Hasty ,- ,252,- ,- ,- ,252
292,Shedinja ,Shedinja ,SilverPowder SilverPowder ,X-Scissor ,Shadow Claw ,Shadow Sneak ,Double Team ,Adamant ,- ,252,- ,- ,- ,252
293,Whismur ,Whismur ,Silk Scarf Silk Scarf ,Hyper Voice ,Extrasensory ,Screech ,Facade ,Naughty ,- ,252,- ,- ,- ,252
296,Makuhita ,Makuhita ,Black Belt Black Belt ,Close Combat ,Foresight ,Bulk Up ,Seismic Toss ,Adamant ,252,252,- ,- ,- ,-
298,Azurill ,Azurill ,Silk Scarf Silk Scarf ,Waterfall ,Charm ,Return ,Tail Whip ,Mild ,- ,- ,- ,252,- ,252
300,Skitty ,Skitty ,Silk Scarf Silk Scarf ,Return ,Iron Tail ,Charm ,Fake Out ,Jolly ,- ,252,- ,- ,- ,252
304,Aron ,Aron ,Metal Coat Metal Coat ,Iron Head ,Iron Defense ,Rock Slide ,Screech ,Adamant ,- ,252,252,- ,- ,-
307,Meditite ,Meditite ,Black Belt Black Belt ,Vacuum Wave ,Psychic ,Calm Mind ,Recover ,Rash ,- ,- ,- ,252,- ,252
309,Electrike ,Electrike ,Magnet Magnet ,Thunder ,Swift ,Quick Attack ,Thunder Fang ,Rash ,- ,- ,- ,252,- ,252
316,Gulpin ,Gulpin ,Poison Barb Poison Barb ,Gunk Shot ,Amnesia ,Frustration ,Acid Armor ,Brave ,252,252,- ,- ,- ,-
318,Carvanha ,Carvanha ,Mystic Water Mystic Water ,Crunch ,Aqua Jet ,Screech ,Waterfall ,Adamant ,- ,252,- ,- ,- ,252
322,Numel ,Numel ,Charcoal Charcoal ,Heat Wave ,Earth Power ,Amnesia ,Dig ,Mild ,- ,- ,- ,252,- ,252
325,Spoink ,Spoink ,TwistedSpoon TwistedSpoon ,Extrasensory ,Psywave ,Facade ,Calm Mind ,Hasty ,- ,- ,- ,252,- ,252
328,Trapinch ,Trapinch ,Soft Sand Soft Sand ,Earthquake ,Quick Attack ,Strength ,Double Team ,Jolly ,- ,252,- ,- ,- ,252
331,Cacnea ,Cacnea ,Miracle Seed Miracle Seed ,Needle Arm ,Sandstorm ,Giga Drain ,Frustration ,Hasty ,- ,252,- ,- ,- ,252
333,Swablu ,Swablu ,Sharp Beak Sharp Beak ,Aerial Ace ,Feather Dance ,Return ,Roost ,Lonely ,- ,252,- ,- ,- ,252
339,Barboach ,Barboach ,Mystic Water Mystic Water ,Earth Power ,Aqua Tail ,Amnesia ,Hydro Pump ,Mild ,- ,- ,- ,252,- ,252
341,Corphish ,Corphish ,Mystic Water Mystic Water ,Crabhammer ,Swords Dance ,Strength ,Iron Defense ,Jolly ,- ,252,- ,- ,- ,252
343,Baltoy ,Baltoy ,Soft Sand Soft Sand ,Earth Power ,Cosmic Power ,Psychic ,Earthquake ,Mild ,- ,- ,- ,252,- ,252
349,Feebas ,Feebas ,Mystic Water Mystic Water ,Waterfall ,Facade ,Tickle ,Flail ,Adamant ,- ,252,- ,- ,- ,252
353,Shuppet ,Shuppet ,Spell Tag Spell Tag ,Shadow Sneak ,Frustration ,Double Team ,Screech ,Jolly ,- ,252,- ,- ,- ,252
355,Duskull ,Duskull ,Spell Tag Spell Tag ,Frustration ,Shadow Ball ,Double Team ,Night Shade ,Mild ,- ,- ,- ,252,252,-
360,Wynaut ,Wynaut ,Sitrus Berry Sitrus Berry ,Counter ,Mirror Coat ,Safeguard ,Charm ,Bold ,- ,- ,252,- ,252,-
361,Snorunt ,Snorunt ,NeverMeltIce NeverMeltIce ,Avalanche ,Ice Shard ,Frustration ,Hail ,Brave ,- ,252,252,- ,- ,-
363,Spheal ,Spheal ,NeverMeltIce NeverMeltIce ,Blizzard ,Ice Ball ,Waterfall ,Hail ,Rash ,- ,- ,- ,252,- ,252
370,Luvdisc ,Luvdisc ,Mystic Water Mystic Water ,Aqua Ring ,Dive ,Return ,Brine ,Lonely ,- ,252,- ,- ,- ,252
371,Bagon ,Bagon ,Dragon Fang Dragon Fang ,Headbutt ,Dragon Dance ,Dragon Claw ,Dragon Rage ,Jolly ,- ,252,- ,- ,- ,252
374,Beldum ,Beldum ,Metal Coat Metal Coat ,Iron Head ,Zen Headbutt ,Iron Defense ,- ,Adamant ,- ,252,- ,- ,- ,252
387,Turtwig ,Turtwig ,Miracle Seed Miracle Seed ,Seed Bomb ,Strength ,Tickle ,Mega Drain ,Lonely ,252,252,- ,- ,- ,-
390,Chimchar ,Chimchar ,Charcoal Charcoal ,Rock Climb ,Nasty Plot ,Flame Wheel ,Swords Dance ,Mild ,- ,252,- ,252,- ,-
393,Piplup ,Piplup ,Mystic Water Mystic Water ,Hydro Pump ,Growl ,Brine ,Facade ,Mild ,- ,- ,- ,252,- ,252
396,Starly ,Starly ,Sharp Beak Sharp Beak ,Brave Bird ,Feather Dance ,Quick Attack ,Aerial Ace ,Adamant ,- ,252,- ,- ,- ,252
399,Bidoof ,Bidoof ,Silk Scarf Silk Scarf ,Hyper Fang ,Aqua Tail ,Quick Attack ,Defense Curl ,Impish ,- ,252,- ,- ,- ,252
401,Kricketot ,Kricketot ,SilverPowder SilverPowder ,Bug Bite ,Bide ,Growl ,Endeavor ,Impish ,- ,- ,252,- ,252,-
403,Shinx ,Shinx ,Magnet Magnet ,Quick Attack ,Scary Face ,Thunder ,Thunder Fang ,Naughty ,- ,252,- ,252,- ,-
406,Budew ,Budew ,Miracle Seed Miracle Seed ,Razor Leaf ,Sludge Bomb ,Protect ,Energy Ball ,Quiet ,- ,- ,- ,252,252,-
412,Burmy ,Burmy ,SilverPowder SilverPowder ,Tackle ,Bug Bite ,- ,- ,Adamant ,- ,252,- ,- ,- ,252
415,Combee ,Combee ,SilverPowder SilverPowder ,Bug Bite ,Gust ,- ,- ,Naughty ,- ,252,- ,- ,- ,252
418,Buizel ,Buizel ,Mystic Water Mystic Water ,Aqua Jet ,Swift ,Agility ,Waterfall ,Hasty ,- ,252,- ,- ,- ,252
420,Cherubi ,Cherubi ,Miracle Seed Miracle Seed ,Razor Leaf ,Magical Leaf ,Tickle ,Return ,Naughty ,- ,252,- ,- ,- ,252
422,Shellos ,Shellos ,Mystic Water Mystic Water ,Brine ,Facade ,Amnesia ,Recover ,Gentle ,252,- ,- ,- ,252,-
431,Glameow ,Glameow ,Silk Scarf Silk Scarf ,Slash ,U-turn ,Quick Attack ,Charm ,Adamant ,- ,252,- ,- ,- ,252
433,Chingling ,Chingling ,TwistedSpoon TwistedSpoon ,Psychic ,Growl ,Recover ,Uproar ,Modest ,- ,- ,- ,252,- ,252
434,Stunky ,Stunky ,Poison Barb Poison Barb ,Sludge Bomb ,Dark Pulse ,Scary Face ,SmokeScreen ,Modest ,- ,- ,- ,252,- ,252
436,Bronzor ,Bronzor ,Metal Coat Metal Coat ,Flash Cannon ,Extrasensory ,Iron Defense ,Gyro Ball ,Quiet ,- ,- ,252,252,- ,-
438,Bonsly ,Bonsly ,Hard Stone Hard Stone ,Double-Edge ,Rock Slide ,Flail ,Sandstorm ,Jolly ,- ,252,- ,- ,- ,252
439,Mime Jr. ,Mime Jr. ,TwistedSpoon TwistedSpoon ,Psychic ,Facade ,Barrier ,Future Sight ,Calm ,- ,- ,252,- ,252,-
440,Happiny ,Happiny ,Silk Scarf Silk Scarf ,Return ,Grass Knot ,Charm ,Double Team ,Lax ,252,- ,252,- ,- ,-
443,Gible ,Gible ,Dragon Fang Dragon Fang ,Dragon Claw ,Dig ,Dragon Rage ,Scary Face ,Adamant ,- ,252,- ,- ,- ,252
447,Riolu ,Riolu ,Black Belt Black Belt ,Quick Attack ,Low Kick ,Screech ,Foresight ,Jolly ,- ,252,- ,- ,- ,252
449,Hippopotas ,Hippopotas ,Soft Sand Soft Sand ,Sand Tomb ,Double-Edge ,Mud-Slap ,Slack Off ,Careful ,- ,- ,252,- ,252,-
451,Skorupi ,Skorupi ,SilverPowder SilverPowder ,Cross Poison ,Bug Bite ,Screech ,Scary Face ,Jolly ,- ,252,- ,- ,- ,252
453,Croagunk ,Croagunk ,Black Belt Black Belt ,Nasty Plot ,Vacuum Wave ,Sludge Bomb ,Double Team ,Modest ,- ,- ,- ,252,- ,252
456,Finneon ,Finneon ,Mystic Water Mystic Water ,Aqua Ring ,Brine ,Return ,Dive ,Gentle ,252,- ,- ,- ,252,-
459,Snover ,Snover ,NeverMeltIce NeverMeltIce ,Wood Hammer ,Avalanche ,Ingrain ,Giga Drain ,Brave ,252,252,- ,- ,- ,-
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Group 2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pokémon in this group have base stat totals between 340 and 439 and may appear during a battle from Rank 3 to Rank 8 for a certain type.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Argenta will randomly use one of the Pokémon listed here each time when challenged for the Silver Print if the player is also using a Pokémon with a base stat total between 340 and 439.,,,,,,,,,,,,,,
# ,Pokémon ,Item ,Moves ,Nature ,EVs,,,,,,,,,
HP ,Attack ,Defense ,Sp. Atk ,Sp. Def ,Speed,,,,,,,,,
2,Ivysaur ,Ivysaur ,Miracle Seed Miracle Seed ,Sludge Bomb ,Giga Drain ,Poison Powder ,Protect ,Bold ,- ,- ,252,- ,252,-
5,Charmeleon ,Charmeleon ,Charcoal Charcoal ,Will-O-Wisp ,Flare Blitz ,Protect ,Slash ,Hasty ,- ,252,- ,- ,- ,252
8,Wartortle ,Wartortle ,Mystic Water Mystic Water ,Water Pulse ,Protect ,Aqua Ring ,Facade ,Calm ,- ,- ,252,- ,252,-
12,Butterfree ,Butterfree ,SilverPowder SilverPowder ,Silver Wind ,Sleep Powder ,Air Cutter ,Double Team ,Timid ,- ,- ,- ,252,- ,252
15,Beedrill ,Beedrill ,SilverPowder SilverPowder ,Poison Jab ,Toxic ,Bug Bite ,Double Team ,Jolly ,- ,252,- ,- ,- ,252
17,Pidgeotto ,Pidgeotto ,Sharp Beak Sharp Beak ,Quick Attack ,Sand Attack ,Double Team ,Aerial Ace ,Adamant ,- ,252,- ,- ,- ,252
20,Raticate ,Raticate ,Focus Band Focus Band ,Super Fang ,Endeavor ,Flame Wheel ,Quick Attack ,Jolly ,- ,252,- ,- ,- ,252
24,Arbok ,Arbok ,Poison Barb Poison Barb ,Glare ,Gunk Shot ,Strength ,Screech ,Jolly ,- ,252,- ,- ,- ,252
30,Nidorina ,Nidorina ,Poison Barb Poison Barb ,Poison Fang ,Attract ,Return ,Captivate ,Adamant ,- ,252,- ,- ,- ,252
33,Nidorino ,Nidorino ,Poison Barb Poison Barb ,Poison Jab ,Attract ,Frustration ,Captivate ,Adamant ,- ,252,- ,- ,- ,252
40,Wigglytuff ,Wigglytuff ,Silk Scarf Silk Scarf ,Sing ,Hyper Voice ,Icy Wind ,Fake Tears ,Modest ,- ,- ,252,252,- ,-
44,Gloom ,Gloom ,Miracle Seed Miracle Seed ,Poison Powder ,Giga Drain ,Energy Ball ,Sludge Bomb ,Modest ,- ,- ,- ,252,- ,252
